date	temp
2016-04-03 15:52:00	65
2016-04-03 16:52:00	67
2016-04-03 17:52:00	67
2016-04-03 18:52:00	65
2016-04-03 19:52:00	59
2016-04-03 20:52:00	57
2016-04-03 21:52:00	55
2016-04-03 22:52:00	54
2016-04-03 23:52:00	50
2016-04-04 00:52:00	50
2016-04-04 01:52:00	49
2016-04-04 02:52:00	47
2016-04-04 03:52:00	48
2016-04-04 04:52:00	45
2016-04-04 05:52:00	45
2016-04-04 06:52:00	46
2016-04-04 07:52:00	48
2016-04-04 08:52:00	57
2016-04-04 09:52:00	62
2016-04-04 10:52:00	66
2016-04-04 11:52:00	70
2016-04-04 12:52:00	72
2016-04-04 13:52:00	74
2016-04-04 14:52:00	76
2016-04-04 15:52:00	77
2016-04-04 16:52:00	77
2016-04-04 17:52:00	76
2016-04-04 18:52:00	74
2016-04-04 19:52:00	70
2016-04-04 20:52:00	66
2016-04-04 21:52:00	64
2016-04-04 22:52:00	64
2016-04-04 23:52:00	60
2016-04-05 00:52:00	59
2016-04-05 01:52:00	55
2016-04-05 02:52:00	56
2016-04-05 03:52:00	57
2016-04-05 04:52:00	56
2016-04-05 05:52:00	54
2016-04-05 06:52:00	50
2016-04-05 07:52:00	48
2016-04-05 08:52:00	50
2016-04-05 09:52:00	50
2016-04-05 10:52:00	50
2016-04-05 11:52:00	53
2016-04-05 12:52:00	54
2016-04-05 13:52:00	56
2016-04-05 14:52:00	56
2016-04-05 15:52:00	58
2016-04-05 16:52:00	57
2016-04-05 17:52:00	56
2016-04-05 18:52:00	54
2016-04-05 19:52:00	52
2016-04-05 20:52:00	51
2016-04-05 21:52:00	50
2016-04-05 22:52:00	48
2016-04-05 23:52:00	46
2016-04-06 00:52:00	44
2016-04-06 01:52:00	43
2016-04-06 02:52:00	42
2016-04-06 03:52:00	40
2016-04-06 04:52:00	38
2016-04-06 05:52:00	36
2016-04-06 06:52:00	35
2016-04-06 07:52:00	38
2016-04-06 08:52:00	42
2016-04-06 09:52:00	45
2016-04-06 10:52:00	48
2016-04-06 11:52:00	51
2016-04-06 12:52:00	53
2016-04-06 13:52:00	57
2016-04-06 14:52:00	59
2016-04-06 15:52:00	59
2016-04-06 16:52:00	59
2016-04-06 17:52:00	59
2016-04-06 18:52:00	58
2016-04-06 19:52:00	56
2016-04-06 20:52:00	56
2016-04-06 21:52:00	55
2016-04-06 22:52:00	56
2016-04-06 23:52:00	56
2016-04-07 00:52:00	55
2016-04-07 01:52:00	55
2016-04-07 02:52:00	56
2016-04-07 03:52:00	55
2016-04-07 04:52:00	51
2016-04-07 05:52:00	51
2016-04-07 06:52:00	52
2016-04-07 07:52:00	52
2016-04-07 08:52:00	54
2016-04-07 09:52:00	58
2016-04-07 10:52:00	61
2016-04-07 11:52:00	63
2016-04-07 12:52:00	64
2016-04-07 13:52:00	66
2016-04-07 14:52:00	68
2016-04-07 15:52:00	68
2016-04-07 16:52:00	67
2016-04-07 17:52:00	70
